t
Control Room
Cocaine Cowboys
Czech Dream
The Endurance: Shackleton's Legendary Antarctic Expedition
Holy Hell
Koyaanisqatsi
Riding Giants
Sweetgrass
Glass: A Portrait of Philip in Twelve Parts
We Steal Secrets: The Story of WikiLeaks
Born into Brothels
Chasing Trane
The Eagle Huntress
Kevin Hart: Let Me Explain
"Fast, Cheap & Out of Control"
Lake of Fire
Glen Campbell: I'll Be Me
Supersonic
The Greatest Movie Ever Sold
49 Up
Page One: Inside the New York Times
Beyond the Mat
Lenny Bruce: Swear to Tell the Truth
Live Nude Girls Unite!
Born to Be Wild
Meru
More Than a Game
"Hey, Boo: Harper Lee & To Kill a Mockingbird"
He Named Me Malala
Buck
The Missing Picture
The Wolfpack
Crime After Crime
Touching the Void
The Living Sea
What the #$*! Do We (K)now!?
The War Tapes
Jackass Number Two
Murderball
The Nightmare
The Pirate Bay: Away From Keyboard
Comedian
One Bright Shining Moment
Sacco and Vanzetti
Videocracy
Tomorrow
Behind the Burly Q
I Am Ali
A Band Called Death
Being Elmo: A Puppeteer's Journey
American Dream
Picture Me
A Place Called Chiapas
Hoop Dreams
On the Way to School
It Came from Hollywood
Glee: The Concert Movie
Naqoyqatsi
Harvard Beats Yale 29-29
Bus 174
Something from Nothing: The Art of Rap
Cuban Rafters
What the Bleep! Down the Rabbit Hole
Katy Perry: Part of Me
Circo
African Cats
Cropsey
Mugabe and the White African
Beetle Queen Conquers Tokyo
Ai Weiwei: Never Sorry
It Might Get Loud
Senna
The Amazing Truth About Queen Raquela
Capturing the Friedmans
Steve Jobs: The Man in the Machine
The Internet's Own Boy: The Story of Aaron Swartz
Blank City
Pina
Big Time
Waste Land
Requiem for the American Dream
Burn
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)
Iraq in Fragments
Hillary's America: The Secret History of the Democratic Party
U2 3D
Powaqqatsi
