 n 
 The Transformers: The Movie 
 ABCs of Death 2 
 Rush Hour 3 
 Final: The Rapture 
 The Fast and the Furious: Tokyo Drift 
 Kill Bill: Vol. 1 
 一九四二 
 黃石的孩子 
 Snowpiercer 
 十三人の刺客 
 Click 
 STAND BY ME ドラえもん 
 南京!南京! 
 サマーウォーズ 
 GHOST IN THE SHELL 
 ノルウェイの森 
 The Cabin in the Woods 
 Unbroken 
 デスノート 
 ゴースト もういちど抱きしめたい 
 風の谷のナウシカ 
 The Insider 
 The Cannonball Run 
 おくりびと 
 Johnny English 
 Metropolis 
 아가씨 
 生きる 
 キュア 
 Enter the Void 
 The Day After Tomorrow 
 The Great Raid 
 Australia 
 金陵十三釵 
 Dude Where’s My Car? 
 一代宗師 
 るろうに剣心 
 劇場版ポケットモンスター セレビィ 時を越えた遭遇（であい） 
 キャシャーン 
 シン・ゴジラ 
 キュレムVS聖剣士ケルディオ 
 The Last Emperor 
 アルセウス 超克の時空へ 
 Carlos 
 Cars 2 
 [REC] 
 この世界の片隅に 
 Memoirs of a Geisha 
 친절한 금자씨 
 The Grudge 3 
 Yves Saint Laurent 
 そして父になる 
 Lost in Translation 
 劇場版ポケットモンスター 幻のポケモン ルギア爆誕 
 L: change the WorLd 
 The Bridge on the River Kwai 
 Always san-chôme no yûh 
 キャプテンハーロック 
 葉問 
 Resident Evil: Afterlife 
 Godzilla 1985 
 Beetle Queen Conquers Tokyo 
 Mishima: A Life in Four Chapters 
 アップルシード 
 Senna 
 Casino Royale 
 ゲド戦記 
 ヱヴァンゲリヲン新劇場版：破 
 You Only Live Twice 
 新世紀エヴァンゲリオン劇場版 
 Tasogare Seibei 
 カイジ2 人生奪回ゲーム 
 Elektra 
 Donnie Brasco 
 リング 
 대호 
 千年女優 
 Doom 
 Taxi 2 
 The Raid 2: Berandal 
 Sukiyaki Western Django 
 Mr. Holmes 
 Hackers 
 Windtalkers 
 Showdown in Little Tokyo 
 かぐや姫の物語 
 Cars 
 Antwone Fisher 
 恋空 
