 Genre 
 Comedy 
 Drama 
 Family 
 Romance 
 Thriller 
 Action 
 Animation 
 Adventure 
 Horror 
 Documentary 
 Music 
 Crime 
 Science Fiction 
 Mystery 
 Foreign 
 Fantasy 
 War 
 Western 
 History 
 TV Movie 
