Most_revenue
The Avengers
Furious 7
Avengers: Age of Ultron
Beauty and the Beast
Transformers: Dark of the Moon
The Dark Knight Rises
Pirates of the Caribbean: On Stranger Tides
Finding Dory
Alice in Wonderland
Zootopia
The Hobbit: An Unexpected Journey
The Dark Knight
Pirates of the Caribbean: At World's End
The Hobbit: The Desolation of Smaug
Harry Potter and the Half-Blood Prince
The Lord of the Rings: The Two Towers
Jurassic Park
Ice Age: Dawn of the Dinosaurs
Spectre
Harry Potter and the Chamber of Secrets
The Lord of the Rings: The Fellowship of the Ring
Guardians of the Galaxy Vol. 2
Star Wars: Episode III - Revenge of the Sith
Transformers: Revenge of the Fallen
Wonder Woman
The Lion King
Indiana Jones and the Kingdom of the Crystal Skull
Deadpool
Guardians of the Galaxy
Maleficent
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Gravity
Captain America: The Winter Soldier
The Twilight Saga: New Moon
Transformers
The Twilight Saga: Eclipse
Mission: Impossible - Ghost Protocol
Man of Steel
Ice Age: The Meltdown
Pirates of the Caribbean: The Curse of the Black Pearl
The Hunger Games: Mockingjay - Part 2
Star Wars: Episode II - Attack of the Clones
The Incredibles
The Martian
Logan
The Passion of the Christ
How to Train Your Dragon 2
Transformers: The Last Knight
Casino Royale
Quantum of Solace
I Am Legend
Cars 2
King Kong
Ted
The Day After Tomorrow
The Revenant
World War Z
The Simpsons Movie
WALL·E
Ghost
Rio 2
The Boss Baby
Indiana Jones and the Last Crusade
Hotel Transylvania 2
Wreck-It Ralph
Jaws
San Andreas
Cars
X-Men: The Last Stand
The Hangover
National Treasure: Book of Secrets
Tarzan
Les Misérables
The Exorcist
Terminator 3: Rise of the Machines
Die Another Day
The Intouchables
Dances with Wolves
The Chronicles of Narnia: Prince Caspian
The Wolverine
Sex and the City
The Bodyguard
Ice Age: Collision Course
Signs
The Mummy
X2
Prometheus
TRON: Legacy
The Wolf of Wall Street
Superman Returns
Robin Hood: Prince of Thieves
Monster Hunt
Happy Feet
Ice Age
Mad Max: Fury Road
Batman Begins
What Women Want
Toy Story
Penguins of Madagascar
X-Men Origins: Wolverine
The Golden Compass
The Adventures of Tintin
War for the Planet of the Apes
Gone Girl
My Big Fat Greek Wedding
Notting Hill
Fast & Furious
Noah
The Hangover Part III
The World Is Not Enough
Minority Report
The Karate Kid
Top Gun
American Beauty
Apollo 13
Dinosaur
Basic Instinct
GoldenEye
Hannibal
The Mask
Cars 3
National Treasure
The Smurfs 2
Rush Hour 2
Trolls
Pocahontas
300: Rise of an Empire
The Rock
Tomorrow Never Dies
Indiana Jones and the Temple of Doom
Back to the Future Part II
The Great Wall
The Good Dinosaur
Fantastic Four
Meet the Parents
Black Swan
The Perfect Storm
The Conjuring 2
Fatal Attraction
The Conjuring
Air Force One
A Beautiful Mind
Resident Evil: The Final Chapter
Ocean's Thirteen
Maze Runner: The Scorch Trials
Dangal
Ransom
Runaway Bride
The Fault in Our Stars
The Polar Express
Wrath of the Titans
Rambo: First Blood Part II
Van Helsing
Resident Evil: Afterlife
Horton Hears a Who!
Look Who's Talking
Doctor Dolittle
Coming to America
The Bourne Supremacy
American Pie 2
Elysium
Wedding Crashers
John Carter
Batman Returns
The Tourist
Mojin: The Lost Legend
Scary Movie
Split
The Bourne Legacy
The Expendables
Rocky III
Epic
Something's Gotta Give
"10,000 BC"
The Truman Show
The Fifth Element
Jumanji
Total Recall
Robots
Rush Hour 3
Annabelle
Four Weddings and a Funeral
Babe
Wild Hogs
Hercules
Get Out
American Hustle
You've Got Mail
Enemy of the State
The Mask of Zorro
Space Jam
The Blair Witch Project
Teenage Mutant Ninja Turtles: Out of the Shadows
The Godfather
Back to the Future Part III
Rush Hour
After Earth
Pixels
A Few Good Men
RoboCop
Eraser
Resident Evil: Retribution
Crocodile Dundee II
Batman & Robin
Click
Dead Poets Society
Spy
American Pie
Alvin and the Chipmunks: The Road Chip
Argo
Juno
Constantine
Hidden Figures
Get Smart
Mr. Bean's Holiday
Life Is Beautiful
The Green Hornet
Sleepless in Seattle
Percy Jackson & the Olympians: The Lightning Thief
Yes Man
Hansel & Gretel: Witch Hunters
Baby Driver
Interview with the Vampire
The Little Mermaid
Jumper
Inferno
The Terminal
Knocked Up
The Prince of Egypt
Jack Reacher
Collateral
Ted 2
Twins
Dracula Untold
Ghostbusters II
The Sorcerer's Apprentice
Public Enemies
Dirty Dancing
Ace Ventura: When Nature Calls
Miss Congeniality
